start station name,start station latitude,start station longitude
Leonard St & Nassau Ave,40.72395678,-73.94984365
34 St & 35 Ave,40.7569332,-73.9262231
E 30 St & Park Ave S,40.74444921,-73.98303529
E 55 St & Lexington Ave,40.75968085,-73.97031366
W 54 St & 9 Ave,40.76584941,-73.98690506
Fulton St & Clermont Ave,40.68415748,-73.96922273
Broadway & Whipple St,40.7016657,-73.9437303
Washington St & Gansevoort St,40.739323,-74.008119
E 110 St & Madison Ave,40.7961535,-73.94782145
E 17 St & Broadway,40.73704984,-73.99009296
E 2 St & Avenue A,40.72307749,-73.98583621
E 97 St & Madison Ave,40.787801,-73.953559
Broadway & E 22 St,40.7403432,-73.98955109
Greenwich St & W Houston St,40.728846,-74.008591
E 65 St & 2 Ave,40.76471852,-73.9622207
7 Ave & Central Park South,40.76674056,-73.97906899
University Pl & E 8 St,40.73143724,-73.99490342
Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416
E 16 St & Irving Pl,40.73536706,-73.98797393
1 Ave & E 94 St,40.7817212,-73.94594
W 27 St & 7 Ave,40.746647,-73.993915
Bayard St & Baxter St,40.71602118,-73.99974372
W 49 St & 8 Ave,40.76227205,-73.98788205
Grand Army Plaza & Central Park S,40.7643971,-73.97371465
Mercer St & Bleecker St,40.72706363,-73.99662137
Vernon Blvd & 10 St,40.7671863,-73.9373554
Clinton St & Grand St,40.71559509,-73.9870295
Division St & Bowery,40.71413089,-73.9970468
S 4 St & Rodney St,40.70934,-73.95608
W 37 St & 5 Ave,40.75038009,-73.98338988
Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328
S 5 Pl & S 5 St,40.710451,-73.960876
Bergen St & Smith St,40.6867443,-73.99063168
E 23 St & 1 Ave,40.736502,-73.97809472
North Moore St & Greenwich St,40.72019521,-74.01030064
Monroe St & Bedford Ave,40.6851443,-73.95380904
Grand St & Havemeyer St,40.71286844,-73.95698119
W 15 St & 10 Ave,40.74275383,-74.00747359
W 56 St & 10 Ave,40.768254,-73.988639
11 Ave & W 41 St,40.76030096,-73.99884222
11 Ave & W 59 St,40.77149671,-73.99046034
W 22 St & 8 Ave,40.74475148,-73.99915362
E 9 St & Avenue C,40.72521311,-73.97768752
South End Ave & Liberty St,40.711512,-74.015756
Division Av & Hooper St,40.70684203,-73.9544354
Irving Ave & Jefferson St,40.70538,-73.92535
3 St & Prospect Park West,40.668132,-73.97363831
Spruce St & Nassau St,40.71146364,-74.00552427
West End Ave & W 107 St,40.8021174,-73.96818053
W 45 St & 8 Ave,40.75929124,-73.98859651
W 42 St & Dyer Ave,40.75898481,-73.99379969
Lorimer St & Broadway,40.70411791,-73.94818595
Henry St & Atlantic Ave,40.69089272,-73.99612349
DeKalb Ave & Hudson Ave,40.689888,-73.981013
Barrow St & Hudson St,40.73172428,-74.00674436
N 12 St & Bedford Ave,40.72079821,-73.95484712
Carmine St & 6 Ave,40.73038599,-74.00214988
Lafayette St & E 8 St,40.73020661,-73.99102628
2 Ave & E 96 St,40.7839636,-73.9471673
W 26 St & 8 Ave,40.74734825,-73.99723551
28 St & 36 Ave,40.757186,-73.932719
W 55 St & 6 Ave,40.76309387,-73.97835016
W 64 St & Thelonious Monk Circle,40.77515953,-73.98918696
Park Pl & Vanderbilt Ave,40.6767,-73.969024
Cleveland Pl & Spring St,40.72210379,-73.99724901
Christopher St & Greenwich St,40.73291553,-74.00711384
Amsterdam Ave & W 82 St,40.78524672,-73.97667321
E 106 St & 1 Ave,40.7892529,-73.93956237
W 120 St & Claremont Ave,40.8109494,-73.9634
9 Ave & W 45 St,40.76019252,-73.9912551
1 Ave & E 18 St,40.73381219,-73.98054421
Lexington Ave & E 63 St,40.76440023,-73.96648977
MacDougal St & Washington Sq,40.73226398,-73.99852205
Lenox Ave & W 126 St,40.808442,-73.9452087
5 Ave & E 29 St,40.7451677,-73.98683077
MacDougal St & Prince St,40.72710258,-74.00297088
W 38 St & 8 Ave,40.75466591,-73.99138152
Central Park West & W 68 St,40.7734066,-73.97782542
Rivington St & Ridge St,40.71850211,-73.98329859
Norfolk St & Broome St,40.7172274,-73.98802084
Harrison St & Hudson St,40.71870987,-74.0090009
5 Ave & E 103 St,40.7922553,-73.95249933
Broadway & W 51 St,40.76228826,-73.98336183
N 11 St & Kent Ave,40.72248189,-73.95921931
West Drive & Prospect Park West,40.66106337,-73.97945255
2 Ave & E 104 St,40.7892105,-73.94370784
Central Park West & W 76 St,40.77896784,-73.97374737
5 St & 51 Ave,40.7423737,-73.9566
Stanton St & Norfolk St,40.720747,-73.986274
W 16 St & 8 Ave,40.74102151,-74.00138497
Greenwich Ave & Charles St,40.735238,-74.000271
Murray St & Greenwich St,40.71485151,-74.01122332
Central Park S & 6 Ave,40.76590936,-73.97634151
Lafayette Ave & Classon Ave,40.68900443,-73.96023854
W 50 St & 9 Ave,40.76360468,-73.98917958
Henry St & Grand St,40.714215,-73.981346
Pershing Square North,40.751873,-73.977706
W 20 St & 7 Ave,40.74238787,-73.99726235
Perry St & Bleecker St,40.73535398,-74.00483091
E 58 St & 1 Ave (NE Corner),40.75892386,-73.96226227
W 24 St & 7 Ave,40.74487634,-73.99529885
Bedford Ave & Bergen St,40.676368,-73.952918
Liberty St & Broadway,40.70905623,-74.01043382
Broadway & W 49 St,40.76068327,-73.98452729
Central Park W & W 96 St,40.79127,-73.964839
W 45 St & 6 Ave,40.7568001,-73.98291153
W 22 St & 10 Ave,40.74691959,-74.00451887
Henry St & Poplar St,40.700469,-73.991454
Allen St & Rivington St,40.72019576,-73.98997825
6 St & 7 Ave,40.6686627,-73.97988067
Hicks St & Montague St,40.69512845,-73.99595065
South St & Gouverneur Ln,40.70355377,-74.00670227
DeKalb Ave & S Portland Ave,40.68981035,-73.97493121
Mott St & Prince St,40.72317958,-73.99480012
Bergen St & Vanderbilt Ave,40.6794388,-73.9680438
37 Ave & 35 St,40.7531106,-73.9279917
Lexington Ave & E 36 St,40.74757396,-73.97880077
W 34 St & 11 Ave,40.75594159,-74.0021163
E 6 St & Avenue B,40.72453734,-73.98185424
31 St & 23 Ave,40.7747878,-73.9125551
Watts St & Greenwich St,40.72405549,-74.00965965
West St & Chambers St,40.71754834,-74.01322069
Montrose Ave & Bushwick Ave,40.70767788,-73.94016171
Halsey St & Tompkins Ave,40.6823687,-73.944118
31 St & Northern Blvd,40.75186951,-73.9334929
W 42 St & 8 Ave,40.7575699,-73.99098507
E 7 St & Avenue A,40.72621788,-73.98379855
Union Ave & Wallabout St,40.70029511,-73.95032283
Willoughby Ave & Hall St,40.69196035,-73.96536851
9 Ave & W 28 St,40.74937024,-73.99923384
Amsterdam Ave & W 73 St,40.77966809,-73.98093045
W 104 St & Amsterdam Ave,40.79904139,-73.9664948
W 53 St & 10 Ave,40.76669671,-73.99061728
E 89 St & 3 Ave,40.7806284,-73.9521667
E 47 St & 2 Ave,40.75323098,-73.97032517
46 Ave & 5 St,40.74731,-73.95451
W 13 St & 5 Ave,40.735445,-73.99431
W 21 St & 6 Ave,40.74173969,-73.99415556
Crescent St & Broadway,40.7633589,-73.9286471
Franklin Ave & Myrtle Ave,40.69454609,-73.95801365
E 118 St & 3 Ave,40.799139,-73.9389152
Monroe St & Tompkins Ave,40.686203,-73.944694
E 93 St & 2 Ave,40.78245418,-73.94891962
1 Ave & E 44 St,40.75001986,-73.96905301
Smith St & 3 St,40.6787242,-73.99599099
Lewis Ave & Kosciuszko St,40.69237074,-73.93705428
Grand St & Elizabeth St,40.718822,-73.99596
Cumberland St & Lafayette Ave,40.68753406,-73.97265183
E 10 St & Avenue A,40.72740794,-73.98142006
E 75 St & 3 Ave,40.77112927,-73.95772297
Hope St & Union Ave,40.71167351,-73.95141312
E 43 St & 2 Ave,40.75022392,-73.97121414
Fulton St & William St,40.70955958,-74.00653609
21 St & Queens Plaza North,40.75325964,-73.94335788
5 Ave & E 63 St,40.766368,-73.971518
Clinton St & Joralemon St,40.69239502,-73.99337909
